"bin","f  "
1,3.00000E-05
2,3.10000E-05
3,3.20000E-05
4,3.30000E-05
5,3.40000E-05
6,3.50000E-05
7,3.60000E-05
8,3.70000E-05
9,3.80000E-05
10,3.90000E-05
11,4.00000E-05
12,4.10000E-05
13,4.20000E-05
14,4.30000E-05
15,4.40000E-05
16,4.50000E-05
17,4.60000E-05
18,4.70000E-05
19,4.80000E-05
20,4.90000E-05
21,5.00000E-05
22,5.10000E-05
23,5.20000E-05
24,5.30000E-05
25,5.40000E-05
26,5.50000E-05
27,5.60000E-05
28,5.70000E-05
29,5.80000E-05
30,5.90000E-05
31,6.00000E-05
32,6.10000E-05
33,6.20000E-05
34,6.30000E-05
35,6.40000E-05
36,6.50000E-05
37,6.60000E-05
38,6.70000E-05
39,6.80000E-05
40,6.90000E-05
41,7.00000E-05
42,7.10000E-05
43,7.20000E-05
44,7.30000E-05
45,7.40000E-05
46,7.50000E-05
47,7.60000E-05
48,7.70000E-05
49,7.80000E-05
50,7.90000E-05
51,8.00000E-05
52,8.10000E-05
53,8.20000E-05
54,8.30000E-05
55,8.40000E-05
56,8.50000E-05
57,8.60000E-05
58,8.70000E-05
59,8.80000E-05
60,8.90000E-05
61,9.00000E-05
62,9.10000E-05
63,9.20000E-05
64,9.30000E-05
65,9.40000E-05
66,9.50000E-05
67,9.60000E-05
68,9.70000E-05
69,9.80000E-05
70,9.90000E-05
71,1.00000E-04
72,1.01000E-04
73,1.02000E-04
74,1.03000E-04
75,1.04000E-04
76,1.05000E-04
77,1.06000E-04
78,1.07000E-04
79,1.08000E-04
80,1.09000E-04
81,1.10000E-04
82,1.11000E-04
83,1.12000E-04
84,1.13000E-04
85,1.14000E-04
86,1.15000E-04
87,1.16000E-04
88,1.17000E-04
89,1.18000E-04
90,1.19000E-04
91,1.20000E-04
92,1.21000E-04
93,1.22000E-04
94,1.23000E-04
95,1.24000E-04
96,1.25000E-04
97,1.26000E-04
98,1.27000E-04
99,1.28000E-04
100,1.29000E-04
101,1.30000E-04
102,1.31000E-04
103,1.32000E-04
104,1.33000E-04
105,1.34000E-04
106,1.35000E-04
107,1.36000E-04
108,1.37000E-04
109,1.38000E-04
110,1.39000E-04
111,1.40000E-04
112,1.41000E-04
113,1.42000E-04
114,1.43000E-04
115,1.44000E-04
116,1.45000E-04
117,1.46000E-04
118,1.47000E-04
119,1.48000E-04
120,1.49000E-04
121,1.50000E-04
122,1.51000E-04
123,1.52000E-04
124,1.53000E-04
125,1.54000E-04
126,1.55000E-04
127,1.56000E-04
