"bin","f  "
1,3.02931E-05
2,3.08878E-05
3,3.14942E-05
4,3.21125E-05
5,3.27430E-05
6,3.33858E-05
7,3.40412E-05
8,3.47095E-05
9,3.53910E-05
10,3.60858E-05
11,3.67943E-05
12,3.75166E-05
13,3.82532E-05
14,3.90042E-05
15,3.97699E-05
16,4.05507E-05
17,4.13468E-05
18,4.21586E-05
19,4.29863E-05
20,4.38302E-05
21,4.46907E-05
22,4.55681E-05
23,4.64627E-05
24,4.73749E-05
25,4.83050E-05
26,4.92533E-05
27,5.02203E-05
28,5.12062E-05
29,5.22115E-05
30,5.32366E-05
31,5.42818E-05
32,5.53475E-05
33,5.64341E-05
34,5.75420E-05
35,5.86717E-05
36,5.98236E-05
37,6.09981E-05
38,6.21956E-05
39,6.34167E-05
40,6.46617E-05
41,6.59312E-05
42,6.72256E-05
43,6.85454E-05
44,6.98911E-05
45,7.12633E-05
46,7.26623E-05
47,7.40889E-05
48,7.55434E-05
49,7.70266E-05
50,7.85388E-05
51,8.00807E-05
52,8.16529E-05
53,8.32560E-05
54,8.48905E-05
55,8.65571E-05
56,8.82564E-05
57,8.99891E-05
58,9.17558E-05
59,9.35573E-05
60,9.53940E-05
61,9.72668E-05
62,9.91764E-05
63,1.01124E-04
64,1.03109E-04
65,1.05133E-04
66,1.07197E-04
67,1.09302E-04
68,1.11448E-04
69,1.13636E-04
70,1.15867E-04
71,1.18141E-04
72,1.20461E-04
73,1.22826E-04
74,1.25237E-04
75,1.27696E-04
76,1.30203E-04
77,1.32759E-04
78,1.35365E-04
79,1.38023E-04
80,1.40733E-04
81,1.43496E-04
82,1.46313E-04
83,1.49185E-04
84,1.52114E-04
85,1.55101E-04
86,1.58146E-04
87,1.61250E-04
88,1.64416E-04
89,1.67644E-04
90,1.70935E-04
91,1.74291E-04
92,1.77713E-04
93,1.81202E-04
94,1.84760E-04
95,1.88387E-04
96,1.92085E-04
97,1.95856E-04
98,1.99702E-04
99,2.03622E-04
100,2.07620E-04
101,2.11696E-04
102,2.15852E-04
103,2.20090E-04
104,2.24411E-04
105,2.28817E-04
106,2.33309E-04
107,2.37889E-04
108,2.42560E-04
109,2.47322E-04
110,2.52177E-04
111,2.57128E-04
112,2.62176E-04
113,2.67323E-04
114,2.72572E-04
115,2.77923E-04
116,2.83379E-04
117,2.88943E-04
118,2.94615E-04
119,3.00399E-04
120,3.06297E-04
121,3.12311E-04
122,3.18442E-04
123,3.24694E-04
124,3.31068E-04
125,3.37568E-04
126,3.44195E-04
127,3.50953E-04
128,3.57843E-04
129,3.64868E-04
130,3.72032E-04
131,3.79336E-04
132,3.86783E-04
133,3.94376E-04
134,4.02119E-04
135,4.10014E-04
136,4.18063E-04
137,4.26271E-04
138,4.34640E-04
139,4.43173E-04
140,4.51873E-04
141,4.60745E-04
142,4.69790E-04
143,4.79014E-04
144,4.88418E-04
145,4.98007E-04
146,5.07784E-04
147,5.17753E-04
148,5.27918E-04
149,5.38282E-04
150,5.48850E-04
151,5.59625E-04
152,5.70612E-04
153,5.81815E-04
154,5.93237E-04
155,6.04884E-04
156,6.16760E-04
157,6.28868E-04
158,6.41215E-04
159,6.53803E-04
160,6.66639E-04
161,6.79727E-04
162,6.93072E-04
163,7.06678E-04
164,7.20552E-04
165,7.34699E-04
166,7.49123E-04
167,7.63830E-04
168,7.78826E-04
169,7.94116E-04
170,8.09707E-04
171,8.25603E-04
172,8.41812E-04
173,8.58339E-04
174,8.75190E-04
175,8.92372E-04
176,9.09892E-04
177,9.27756E-04
178,9.45970E-04
179,9.64542E-04
180,9.83478E-04
181,1.00279E-03
182,1.02247E-03
183,1.04255E-03
184,1.06302E-03
185,1.08388E-03
186,1.10516E-03
187,1.12686E-03
188,1.14898E-03
189,1.17154E-03
190,1.19454E-03
191,1.21799E-03
192,1.24191E-03
193,1.26629E-03
194,1.29115E-03
195,1.31650E-03
196,1.34234E-03
197,1.36870E-03
198,1.39557E-03
199,1.42297E-03
200,1.45090E-03
201,1.47939E-03
202,1.50843E-03
203,1.53805E-03
204,1.56824E-03
205,1.59903E-03
206,1.63042E-03
207,1.66243E-03
208,1.69507E-03
209,1.72835E-03
210,1.76228E-03
211,1.79688E-03
212,1.83216E-03
213,1.86813E-03
214,1.90480E-03
215,1.94220E-03
216,1.98033E-03
217,2.01921E-03
218,2.05885E-03
219,2.09927E-03
220,2.14049E-03
221,2.18251E-03
222,2.22536E-03
223,2.26905E-03
224,2.31359E-03
225,2.35902E-03
226,2.40533E-03
227,2.45255E-03
228,2.50070E-03
229,2.54980E-03
230,2.59986E-03
